24	25	
0.3952	0.8992		7016	7072	7206		276959	280235	278043	
0.963	0.9275		10304	11502	11331		282065	290141	278814	
0.1649	0.3532		3874	3672	3684		268659	268227	264391	
0.2934	0.5758		5686	5210	5200		244641	239937	246232	
0.3619	0.8437		6502	6497	6525		253907	257004	263270	
0.2858	0.9957		6575	6734	6532		261278	266568	257373	
0.3357	0.0948		3284	3937	3818		264077	263268	282263	
0.7316	0.3675		6214	6419	6196		280101	270906	304179	
0.3663	0.9912		7018	7208	7140		233334	236893	232386	
0.5689	0.9823		8610	8626	8273		259560	263349	265017	
0.9463	0.9623		11627	11520	11420		263145	261759	267230	
0.1898	0.6919		5003	5045	4982		270285	266261	267149	
0.0962	0.1991		2918	3047	2895		257833	255272	257668	
0.8631	0.6026		9014	8573	8355		297705	281737	279807	
0.9911	0.2456		6233	6314	5996		253745	254132	250237	
0.8326	0.9945		10443	11414	10508		246947	264341	250910	
0.097	0.4679		3954	3821	3627		274977	254301	261024	
0.6118	0.4401		5999	6173	4987		297453	290382	281490	
0.8484	0.984		10804	10772	10744		278901	279733	277378	
0.2609	0.8237		6725	7102	6115		307352	308404	319968	
0.3835	0.7549		7023	7698	8002		275950	283497	304010	
0.8513	0.4957		8244	8634	8305		329248	339926	334097	
0.9131	0.6657		10219	10224	10093		322537	300394	314957	
0.1058	0.0533		2906	3210	3453		305530	300770	324718	
0.305	0.7745		6854	6280	7417		336584	346550	348606	
0.9185	0.1913		10069	6845	7058		319653	329616	331657	
0.2545	0.4076		5207	5184	5348		333822	320935	317654	
0.1824	0.1122		3704	3197	3782		307216	275473	310071	
0.0899	0.1352		2525	2713	2662		312286	278321	300531	
0.1543	0.755		5077	5047	4937		272253	272410	270746	
0.0887	0.1571		2638	2829	2844		272396	270627	267420	
0.0767	0.6038		3912	4554	3997		263720	264405	292170	
0.0949	0.2544		3147	3164	3144		267414	255355	263664	
0.6043	0.2702		5223	5250	5308		250876	257741	251158	
0.8884	0.4631		7459	7689	7461		274113	267929	270545	
0.9468	0.7833		10520	10678	10861		273267	269532	284540	
0.4852	0.6575		6838	6797	6797		266529	275181	275094	
0.8497	0.2932		6712	6465	7030		250500	251205	250589	
0.8865	0.4282		7407	7453	7369		272789	285913	280652	
0.7996	0.136		5368	5162	5302		260471	263397	261982	
0.4243	0.3816		5352	5461	5599		284062	284682	281276	
0.0831	0.7909		4566	4423	4512		274696	272369	271187	
0.93	0.1847		5805	5578	5700		251392	254999	258870	
