26	27	
0.7981	0.8849		133303	75879	71828	71504	70190	59287	78763	58201	57633	63605		1848059	1466263	1390254	1395563	1508589	1456696	1372512	1361564	1289677	1463456	
0.9249	0.4277		66292	55140	52290	57107	56032	57779	70288	57895	57846	61721		1574879	1213972	1086098	1360759	1481064	1323508	1650511	1436826	1430651	1507554	
0.4095	0.2598		61696	52783	42951	46012	37014	43740	39748	54086	47584	39376		1441681	1317618	1283872	1433321	1063249	1290423	1225633	1211446	1267058	1189687	
0.6781	0.2657		61625	60277	47530	47023	57334	57652	47374	59720	53427	45613		1622857	1615218	1279156	1279476	1460286	1456546	1426748	1663170	1269773	1381923	
0.5821	0.3966		49961	61419	51053	62097	62939	61080	60934	49415	50596	49147		1578767	1676972	1349588	1423390	1625292	1689303	1645174	1426749	1507784	1247505	
0.8166	0.3401		149523	70354	54961	86454	62755	62871	52527	46728	71421	58951		2126776	1571849	1121177	1442886	1618960	1529470	1537678	1331730	1558591	1488088	
0.5588	0.2392		47512	96423	42071	57324	43226	67839	45702	44041	56856	50398		1364980	1880741	2243332	2435938	1400833	2439309	1858646	1503621	1371533	1429283	
0.4245	0.5376		52858	42182	42500	48212	46677	42450	48078	81058	47315	83583		1743620	1649146	1235829	2019303	1636856	1647762	1458746	1587838	1482317	2618985	
0.4032	0.6033		43978	72128	46166	43808	58349	40666	42628	55966	54478	44449		1487118	1758868	1365081	1148673	1036024	1014002	1226603	1217447	1526497	1254923	
0.628	0.8872		55626	51714	48540	51995	50651	52649	58499	64257	63977	79746		1259225	1250955	1322749	1249534	994822	1207348	1230820	1302980	1492268	1346983	
0.3711	0.9024		58118	47600	52526	61342	47058	47000	53019	42136	52051	59356		1665559	1312134	1402958	1453637	1268801	1296437	1199008	1040584	1243466	1486101	
0.1988	0.2222		45075	37833	82166	32301	44152	63228	48016	38121	34464	39395		1533154	1295736	2307714	1663044	1654471	1968997	1799027	1333044	1185015	1201365	
0.3611	0.7618		43824	54884	46539	46245	64089	46213	45511	49246	40735	60660		1571675	1366771	1385897	1365022	1519594	1308217	1245408	1328861	1130120	1537414	
0.3093	0.0865		39620	37116	36488	42546	48056	84428	41711	40989	35570	33925		1315760	1310102	1374947	1449745	1734703	2064621	1715767	1568059	1220204	1521052	
0.4246	0.1018		43343	52216	43940	39211	36939	40304	52769	53844	35542	39106		1255886	1387913	1475574	1398833	1056714	1327334	1466874	1756056	1206776	1173320	
