30	31	
0.9579	0.885		37350	39862	38805	37121	41377	38951	53114	40316	48459	50406		1282990	1316255	1211973	1225086	1397098	1354222	1268918	1389663	1569813	1588218	
0.5532	0.6848		29420	26170	29600	28615	28988	27827	27148	29190	43479	27679		1283427	1252610	1053371	1206907	1364829	1281099	1315175	1327967	1585171	1361618	
0.744	0.4918		35904	35923	35616	32341	32668	34375	25940	25859	26835	33665		1468768	1526070	1648014	1338010	1410422	1445345	1150260	1198182	1305604	1526850	
0.3925	0.735		25892	36917	23849	25092	28145	23586	23928	23805	22496	32111		1144294	1232792	1157409	1170813	1184797	1350111	1197548	1207055	1052461	1272262	
0.6908	0.3923		25573	23122	26295	31230	31645	22213	24205	21255	22135	21597		1335480	1215557	1320100	1404478	1403900	1185302	1134072	1032562	1090637	1016745	
0.1043	0.6017		25659	17557	26890	15731	20545	17906	23186	16007	23634	18900		1343681	1283250	1390907	1209348	1331610	1335074	1542963	1293417	1737198	1266918	
0.111	0.4438		12592	22478	23144	15863	14392	12935	16776	15724	21944	17708		1119155	1340164	1426025	1248207	1167340	1119862	1282695	1150003	1370814	1153805	
0.1189	0.0584		15331	13050	15867	10502	18881	12410	18711	13119	11171	19045		1300962	1174582	1306207	1329319	1519282	1248813	1595166	1275262	1212918	1682892	
0.1157	0.9101		18583	16177	27547	26652	22972	25383	21331	26729	18238	25643		1283891	1095281	1368938	1386379	1279255	1575898	1402152	1206532	1344085	1471497	
0.0908	0.7071		24597	20459	24690	26078	16329	20649	16338	15252	14983	20705		1549014	1487250	1558352	1509984	1305041	1331397	1288551	1322500	1166253	1454352	
0.8807	0.9875		48261	46152	40635	38209	39045	37870	38545	37992	44613	38421		1358426	1601527	1455866	1196750	1489321	1317248	1291293	1167139	1281013	1261608	
0.4436	0.742		21947	40766	31324	26698	28791	35053	28822	22346	22792	24477		1153814	1630466	1248213	1188610	1331203	1609553	1422640	1213469	1334534	1561542	
0.4564	0.2638		16314	22783	19871	19796	21547	20201	15906	16095	21693	26009		1204116	1372837	1341668	1319289	1347341	1182749	1014056	1164147	1339714	1458768	
0.3832	0.9544		27244	22898	23727	33298	30140	26561	29563	25560	33558	31741		1247734	1045212	1138124	1634462	1300258	1188767	1183023	1357574	1685203	1582322	
0.3687	0.4824		20328	28383	19738	24040	19838	29366	29245	20817	20717	18371		1223040	1381571	1395093	1497756	1229356	1681374	1660922	1348110	1282641	1207373	
0.6199	0.4006		25636	30367	24670	22865	21450	20830	28398	23487	28241	24062		1390544	1474518	1333061	1278139	1092947	1088485	1368764	1201157	1363108	1330343	
0.7629	0.5407		29549	25521	39746	27739	28774	27297	30628	30723	29807	29375		1274467	1113288	1474928	1172152	1248092	1147474	1204123	1299002	1364461	1190704	
0.6878	0.9585		35191	31466	31996	39933	32427	37163	34274	45850	30822	32246		1196798	1192183	1214793	1239636	1198204	1382116	1231169	1629270	1144261	1278850	
0.9514	0.112		23970	20920	31382	24468	20441	30682	33720	21539	21739	24995		1157841	1343521	1601635	1061411	1112394	1681338	1556602	1309851	1346620	1292432	
0.5755	0.3283		26440	25167	28666	28007	26962	21036	23368	22754	20705	20232		1349498	1333908	1630174	1662914	1451150	1359277	1407891	1452283	1294442	1249633	
0.6547	0.9783		32160	32731	35974	40684	40573	40874	32679	33006	37350	40405		1400869	1261791	1348987	1514387	1568410	1492430	1299634	1431657	1437878	1545967	
0.572	0.4468		30737	21682	32505	30047	22235	37226	30358	21886	22185	22298		1521687	1344943	1701558	1554743	1400234	1651068	1459493	1282766	1291166	1278921	
0.76	0.5434		27521	37806	37647	30477	28072	27366	30440	29451	39739	29204		1124768	1355838	1504167	1278024	1307664	1205947	1330317	1159569	1542908	1366433	
