35	36	37	
0.8753	0.8575	0.7738		34840	40099	34969		636626	658228	661568	
0.3727	0.6338	0.2438		18827	13914	13741		590840	587083	606336	
0.1917	0.2541	0.7248		17682	17665	16417		602129	603100	623909	
0.1622	0.8318	0.9973		19005	18694	20423		631204	611074	592816	
0.1554	0.2911	0.5352		15396	14066	15699		656106	645159	673792	
0.5097	0.6521	0.7621		21495	21385	21231		612078	609328	621250	
0.3868	0.0623	0.3767		19722	18812	17974		615020	617832	615937	
0.8396	0.9388	0.2561		26789	26271	26520		658348	626388	650271	
0.7812	0.4903	0.5777		25375	25344	25360		631263	643498	667286	
0.6908	0.8031	0.7112		26358	26319	26262		611377	618873	667494	
0.4078	0.2384	0.5744		15077	14991	14432		602804	610195	654265	
0.7943	0.8502	0.8381		32909	32973	32866		622494	650055	652342	
0.2004	0.8778	0.471		25509	16978	17035		634455	622564	606528	
0.987	0.6001	0.8182		30244	30098	24981		616624	673232	578304	
0.9306	0.5944	0.435		21188	21199	23150		546845	547247	589565	
0.5387	0.1468	0.2519		15982	12750	14244		612650	684704	680167	
0.7977	0.4327	0.1274		19382	19144	19350		584921	608508	620277	
0.4797	0.7003	0.1695		15297	16078	15910		636460	597318	606738	
0.6052	0.6568	0.9803		22313	21970	22044		583737	591639	604476	
0.6739	0.3367	0.7473		22468	24802	18365		635240	630261	642952	
0.2618	0.5323	0.153		8812	9366	9048		577242	609779	599445	
0.6266	0.4482	0.4135		20407	20353	20381		614201	617173	647464	
0.2593	0.7766	0.6012		15635	15515	15520		630359	630985	675524	
0.446	0.196	0.2755		17560	13218	18333		593413	550507	641914	
0.3606	0.5548	0.7174		14756	14462	14863		541498	547542	641093	
0.1153	0.6035	0.6983		13942	18492	13854		513115	623471	542223	
0.843	0.8782	0.7212		32120	32038	30656		631572	632495	648928	
0.936	0.5186	0.3491		30873	20324	24677		581802	645575	628475	
0.5684	0.4936	0.5173		23345	25043	20083		604610	606068	597901	
0.4191	0.3107	0.836		17580	17720	19387		586066	588589	627962	
0.6873	0.2543	0.3265		17959	15084	16349		588192	606846	581727	
0.965	0.2846	0.9371		25897	25820	25972		584441	614300	619270	
0.7162	0.7612	0.7534		25830	25615	25854		565347	572877	575596	
0.098	0.3397	0.5531		12182	18320	13109		525521	623317	612454	
0.1146	0.3763	0.9034		18736	15169	19332		659684	643722	661301	
0.8432	0.7555	0.8293		29745	34254	29383		614775	626656	689638	
0.8248	0.6871	0.4624		26840	26678	22107		587200	587972	605652	
0.3533	0.4616	0.107		10784	10194	10918		591789	597601	622074	
0.0547	0.7316	0.2389		14200	13680	14811		606209	608738	627274	
0.383	0.106	0.5896		19682	19436	15567		621419	655936	659622	
0.6256	0.3427	0.4745		14302	14250	14208		503424	500079	506590	
0.1955	0.1421	0.7028		14619	14672	15550		563731	564818	581243	
0.2767	0.575	0.7957		21496	16666	21435		593594	541156	622894	
0.3066	0.493	0.4174		13186	14965	15044		524533	594805	584875	
0.8248	0.1144	0.063		20716	20131	24323		607970	628892	649005	
0.8914	0.712	0.3317		23976	21022	21152		587759	590355	593454	
0.7621	0.4631	0.147		19353	19565	19217		564940	579618	606975	
0.1278	0.9059	0.1719		13602	13552	8730		590742	586914	538311	
0.8136	0.2268	0.9438		22722	21652	20045		594507	609096	634883	
0.1183	0.2982	0.4486		11186	15760	11623		607132	639066	668303	
0.6818	0.8663	0.9972		27350	30877	28495		589135	598099	633933	
0.2463	0.6714	0.4036		14835	14514	17485		607510	585203	643989	
0.437	0.5638	0.8772		24952	22724	22915		584556	573001	542773	
0.53	0.6915	0.5554		19940	18651	19323		578906	582023	616747	
0.6314	0.4949	0.811		22528	20752	24502		605499	635590	658728	
0.2406	0.519	0.9607		20876	20815	20717		582285	605819	640139	
0.6926	0.5654	0.7143		20744	20764	23787		562593	571607	630385	
0.47	0.5679	0.5009		28464	20550	19033		594746	624714	650950	
0.5384	0.1809	0.5135		15181	25634	19874		550271	576949	593865	
0.9099	0.9785	0.9336		35481	30533	35719		626156	558564	655084	
0.1165	0.249	0.6927		13740	14349	13629		550968	558885	561588	
0.6412	0.3531	0.9151		18075	22993	19979		567565	691140	608196	
0.4001	0.5424	0.8194		21255	23902	19918		592812	587790	627796	
0.2669	0.9021	0.6379		21137	21706	17484		625325	651533	573493	
0.8705	0.9855	0.9576		34934	35001	35067		642708	664266	685676	
0.7681	0.351	0.7338		24465	24162	24510		597507	627045	626883	
0.5922	0.6801	0.6102		23633	20084	24341		592917	592785	618435	
0.1817	0.5525	0.2261		14828	11534	10223		615054	566101	555495	
0.2009	0.1031	0.4947		18279	16261	16709		596292	608820	620265	
0.8728	0.151	0.671		17270	17136	17207		562991	603153	645622	
0.6792	0.9276	0.4108		25945	25913	25888		621845	624072	633315	
0.3785	0.987	0.7059		21847	25736	30811		619241	633084	647517	
0.3469	0.5705	0.6613		20078	17608	16846		565667	569303	555285	
0.9177	0.7642	0.1482		25323	25483	25357		615631	618518	636830	
0.4564	0.3529	0.3912		14460	20140	14478		553300	639221	649238	
0.7078	0.3182	0.0993		12299	12552	17960		520776	525980	629366	
0.5699	0.0744	0.7143		14877	16205	16623		624679	590092	604809	
0.4917	0.8665	0.8781		23570	28673	28659		585714	667007	675451	
0.7249	0.925	0.9967		29190	34013	25851		538402	576636	516519	
0.7335	0.7458	0.421		24664	23673	26163		592103	599014	617453	
0.3418	0.0752	0.2321		12055	11780	14176		563657	573759	614185	
0.2718	0.5471	0.254		13047	11790	12537		587733	588656	613315	
0.0571	0.1235	0.1555		8021	7959	10175		590099	555560	562661	
0.3339	0.6218	0.9655		22767	28215	23178		634812	644123	685137	
0.1412	0.0687	0.97		15957	15309	14307		589341	580492	597329	
0.2597	0.717	0.9769		17642	17544	17787		546144	519089	583285	
